Periodo,PIB Millones de pesos
1,7547882.144
2,7536518.992
3,7478780.82
4,8008666.64
5,8229212.702
6,8417818.004
7,8211045.527
8,8614524.865
9,8512096.4
10,8481760.759
11,8198953.899
12,8277251.689
13,8120479.85
14,7997531.117
15,7764430.844
16,8127328.588
17,8384896.23
18,8232124.573
19,8119301.524
20,8389536.374
21,8539105.041
22,8487030.468
23,8193121.959
24,8528896.049
25,8208491.352
26,8409218.652
27,7769449.783
28,8109501.791
29,8119219.038
30,8443175.116
31,8038083.561
32,8568977.287
33,8378163.162
34,8546889.028
35,8031742.408
36,8636950.844
37,8575114.059
38,8912465.891
39,8452556.703
40,8881444.762
41,8964419.624
42,9262515.905
43,8885511.844
44,9522792.509
45,9268190.329
46,9775235.335
47,9176389.016
48,9894608.989
49,9701986.33
50,9986417.75
51,9607923.069
52,10155182.26
53,10008894.66
54,10171035.4
55,10066258.41
56,10416096.24
57,10343388.47
58,10772526.22
59,10602752.89
60,10952773.42
61,10189745.49
62,9795719.008
63,9802904.373
64,10198513.28
65,10426430.9
66,10569227.49
67,10583112.09
68,11116526.64
69,10862931.98
70,11460068.09
71,11408200.86
72,11887380.12
73,11827638.05
74,12034464.22
75,11972371.59
76,12139816.57
77,12100154.54
78,12315219.07
79,12325229.13
80,12554685.81
81,12725022.04
82,12994568.9
83,13008792.26
84,13003302.17
85,12796119.51
86,12967530.19
87,12857408.64
88,12901429.2
89,12415541.46
90,13112362.78
91,12889950.08
92,13084104.35
93,12803326.7
94,13182931.65
95,12954912.31
96,13305703.42
97,13252637.28
98,13732337.64
99,13438257.15
100,13872028.16
101,13354792.36
102,14104834.68
103,13782142.6
104,14306520.45
105,14107961.11
106,14700503.81
107,14435867.22
108,14800896.85
109,14393731.49
110,14993341.6
111,14783297.43
112,15204933.38
113,14563429.18
114,15386331.84
115,14979493.16
116,15125056.55
117,13752157.58
118,14012946.53
119,14231940.41
120,14882949
121,14371711.89
122,14998392.98
123,14921449.86
124,15499624.06
125,14902787.36
126,15413083.52
127,15526005.67
128,16139457.86
129,15619683.01
130,16027310.99
131,15952745.02
132,16639155.58
133,15720296.18
134,16362730.74
135,16186048.35
136,16839673.05
137,16135493.72
138,16736871.33
139,16645054.66
140,17417199.36
141,16697500.52
142,17239817.32
143,17309642.63
144,17888463.26
145,17196650.78
146,17807935.05
147,17666733.4
148,18476323.12
149,17794478.55
150,18154260.45
151,17944580.55
152,18760639.85
153,18011618.39
154,18623258.9
155,18391132.51
156,19077512.61
157,18236100.28
